"Name","State","Notes","User","Tags","Created","Runtime","Sweep","arm_distributions.even","arm_distributions.odd","arm_distributions.uniform","attention_dropout","emb_strategy","embedding_dim","embedding_dropout","episode_len","feedforward_dim","max_action","num_actions","num_heads","num_layers","num_states","optimizer","optimizer_kwargs.betas","optimizer_kwargs.lr","residual_dropout","scheduler","scheduler_kwargs.T_0","scheduler_kwargs.eta_min","seq_len","epoch","train_accuracy","train_loss","train_mean_regret","train_mean_reward","trainer/global_step","valid_accuracy/dataloader_idx_0","valid_accuracy/dataloader_idx_1","valid_loss/dataloader_idx_0","valid_loss/dataloader_idx_1","valid_mean_regret/dataloader_idx_0","valid_mean_regret/dataloader_idx_1","valid_mean_reward/dataloader_idx_0","valid_mean_reward/dataloader_idx_1"
"ethereal-bird-25","running","-","","","2024-08-15T17:25:47.000Z","75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BanditDT_lr=0.005_layers=4_seq=64_embed=64","crashed","-","","bandit","2024-08-14T11:41:46.000Z","191","","[0.715158224105835,0.2538370192050934,0.7420697212219238,0.26928046345710754,0.7629759907722473,0.2575136125087738,0.7290505766868591,0.3063233494758606,0.7439114451408386,0.271114706993103]","[0.26788556575775146,0.7275376915931702,0.28696298599243164,0.7303275465965271,0.26839134097099304,0.7625457644462585,0.2632993459701538,0.7283633351325989,0.3089433014392853,0.6961244940757751]","[0.5012867450714111,0.49775734543800354,0.5054509043693542,0.5156232118606567,0.4612155258655548,0.4667917490005493,0.5344703793525696,0.5298969745635986,0.525170087814331,0.4662938714027405]","0.1","stack","64","0.1","20000","256","1","10","4","4","0","torch.optim.adam.Adam","[0.9,0.99]","0.005","0.1","torch.optim.lr_scheduler.CosineAnnealingWarmRestarts","1000","0.000002","64","4","0.9049000144004822","0.2859441041946411","0.056323304772377014","0.7245756983757019","3909","0.017799999564886093","0.3910000026226044","4.072620868682861","2.009404420852661","0.35453367233276367","0.20936813950538635","0.5555930137634277","0.6533167362213135"
"BanditDT_lr=0.005_layers=2_seq=64_embed=64","finished","-","","bandit","2024-08-14T11:31:17.000Z","623","","[0.715158224105835,0.2538370192050934,0.7420697212219238,0.26928046345710754,0.7629759907722473,0.2575136125087738,0.7290505766868591,0.3063233494758606,0.7439114451408386,0.271114706993103]","[0.26788556575775146,0.7275376915931702,0.28696298599243164,0.7303275465965271,0.26839134097099304,0.7625457644462585,0.2632993459701538,0.7283633351325989,0.3089433014392853,0.6961244940757751]","[0.5012867450714111,0.49775734543800354,0.5054509043693542,0.5156232118606567,0.4612155258655548,0.4667917490005493,0.5344703793525696,0.5298969745635986,0.525170087814331,0.4662938714027405]","0.1","stack","64","0.1","20000","256","1","10","4","2","0","torch.optim.adam.Adam","[0.9,0.99]","0.005","0.1","torch.optim.lr_scheduler.CosineAnnealingWarmRestarts","1000","0.000002","64","25","0.9970659613609314","0.009804615750908852","0.004924189765006304","0.7203158140182495","19999","0.09440000355243684","0.29019999504089355","10.539541244506836","6.675387382507324","0.35879695415496826","0.21697133779525757","0.5622016787528992","0.6416260600090027"
"BanditDT_lr=0.0001_layers=16_seq=64_embed=64","finished","-","","bandit","2024-08-14T10:45:34.000Z","2737","","[0.715158224105835,0.2538370192050934,0.7420697212219238,0.26928046345710754,0.7629759907722473,0.2575136125087738,0.7290505766868591,0.3063233494758606,0.7439114451408386,0.271114706993103]","[0.26788556575775146,0.7275376915931702,0.28696298599243164,0.7303275465965271,0.26839134097099304,0.7625457644462585,0.2632993459701538,0.7283633351325989,0.3089433014392853,0.6961244940757751]","[0.5012867450714111,0.49775734543800354,0.5054509043693542,0.5156232118606567,0.4612155258655548,0.4667917490005493,0.5344703793525696,0.5298969745635986,0.525170087814331,0.4662938714027405]","0.1","stack","64","0.1","20000","256","1","10","4","16","0","torch.optim.adam.Adam","[0.9,0.99]","0.0001","0.1","torch.optim.lr_scheduler.CosineAnnealingWarmRestarts","1000","0.000002","64","25","0.8889235854148865","0.3259853720664978","0.07071155309677124","0.7257375717163086","19999","0.07859999686479568","0.3386000096797943","3.662676095962525","1.9106054306030271","0.3655071258544922","0.19453851878643036","0.5653508901596069","0.5889726281166077"
"BanditDT_lr=0.0001_layers=8_seq=64_embed=64","finished","-","","bandit","2024-08-14T10:21:12.000Z","1456","","[0.715158224105835,0.2538370192050934,0.7420697212219238,0.26928046345710754,0.7629759907722473,0.2575136125087738,0.7290505766868591,0.3063233494758606,0.7439114451408386,0.271114706993103]","[0.26788556575775146,0.7275376915931702,0.28696298599243164,0.7303275465965271,0.26839134097099304,0.7625457644462585,0.2632993459701538,0.7283633351325989,0.3089433014392853,0.6961244940757751]","[0.5012867450714111,0.49775734543800354,0.5054509043693542,0.5156232118606567,0.4612155258655548,0.4667917490005493,0.5344703793525696,0.5298969745635986,0.525170087814331,0.4662938714027405]","0.1","stack","64","0.1","20000","256","1","10","4","8","0","torch.optim.adam.Adam","[0.9,0.99]","0.0001","0.1","torch.optim.lr_scheduler.CosineAnnealingWarmRestarts","1000","0.000002","64","25","0.8786284923553467","0.3533892035484314","0.07250194996595383","0.7266602516174316","19999","0.03840000182390213","0.46160000562667847","4.12836217880249","1.6105408668518066","0.2891642451286316","0.19200089573860168","0.4649452567100525","0.6528279185295105"
"BanditDT_lr=0.0001_layers=4_seq=64_embed=64","finished","-","","bandit","2024-08-14T10:06:52.000Z","854","","[0.715158224105835,0.2538370192050934,0.7420697212219238,0.26928046345710754,0.7629759907722473,0.2575136125087738,0.7290505766868591,0.3063233494758606,0.7439114451408386,0.271114706993103]","[0.26788556575775146,0.7275376915931702,0.28696298599243164,0.7303275465965271,0.26839134097099304,0.7625457644462585,0.2632993459701538,0.7283633351325989,0.3089433014392853,0.6961244940757751]","[0.5012867450714111,0.49775734543800354,0.5054509043693542,0.5156232118606567,0.4612155258655548,0.4667917490005493,0.5344703793525696,0.5298969745635986,0.525170087814331,0.4662938714027405]","0.1","stack","64","0.1","20000","256","1","10","4","4","0","torch.optim.adam.Adam","[0.9,0.99]","0.0001","0.1","torch.optim.lr_scheduler.CosineAnnealingWarmRestarts","1000","0.000002","64","25","0.8585069179534912","0.40716880559921265","0.07930085808038712","0.7289392352104187","19999","0.0284000001847744","0.6065999865531921","3.774109363555908","1.22760272026062","0.35112622380256653","0.15040570497512817","0.5508348941802979","0.6125097870826721"
"BanditDT_lr=0.0001_layers=2_seq=64_embed=64","finished","-","","bandit","2024-08-14T09:56:47.000Z","599","","[0.715158224105835,0.2538370192050934,0.7420697212219238,0.26928046345710754,0.7629759907722473,0.2575136125087738,0.7290505766868591,0.3063233494758606,0.7439114451408386,0.271114706993103]","[0.26788556575775146,0.7275376915931702,0.28696298599243164,0.7303275465965271,0.26839134097099304,0.7625457644462585,0.2632993459701538,0.7283633351325989,0.3089433014392853,0.6961244940757751]","[0.5012867450714111,0.49775734543800354,0.5054509043693542,0.5156232118606567,0.4612155258655548,0.4667917490005493,0.5344703793525696,0.5298969745635986,0.525170087814331,0.4662938714027405]","0.1","stack","64","0.1","20000","256","1","10","4","2","0","torch.optim.adam.Adam","[0.9,0.99]","0.0001","0.1","torch.optim.lr_scheduler.CosineAnnealingWarmRestarts","1000","0.000002","64","25","0.8429514169692993","0.4505025446414947","0.07983571290969849","0.7314666509628296","19999","0.021199999377131466","0.41260001063346863","4.342158794403076","1.494629979133606","0.2742959260940552","0.15197080373764038","0.4441753327846527","0.6157326102256775"
"BanditDT_lr=0.0005_layers=16_seq=64_embed=64","finished","-","","bandit","2024-08-14T09:11:17.000Z","2724","","[0.715158224105835,0.2538370192050934,0.7420697212219238,0.26928046345710754,0.7629759907722473,0.2575136125087738,0.7290505766868591,0.3063233494758606,0.7439114451408386,0.271114706993103]","[0.26788556575775146,0.7275376915931702,0.28696298599243164,0.7303275465965271,0.26839134097099304,0.7625457644462585,0.2632993459701538,0.7283633351325989,0.3089433014392853,0.6961244940757751]","[0.5012867450714111,0.49775734543800354,0.5054509043693542,0.5156232118606567,0.4612155258655548,0.4667917490005493,0.5344703793525696,0.5298969745635986,0.525170087814331,0.4662938714027405]","0.1","stack","64","0.1","20000","256","1","10","4","16","0","torch.optim.adam.Adam","[0.9,0.99]","0.0005","0.1","torch.optim.lr_scheduler.CosineAnnealingWarmRestarts","1000","0.000002","64","25","0.9728124737739564","0.07876697182655334","0.02969338931143284","0.720476508140564","19999","0.1022000014781952","0.259799987077713","3.915547370910645","2.870691299438477","0.3524439036846161","0.25325560569763184","0.5501906275749207","0.5794916152954102"
"BanditDT_lr=0.0005_layers=8_seq=64_embed=64","finished","-","","bandit","2024-08-14T08:47:00.000Z","1451","","[0.715158224105835,0.2538370192050934,0.7420697212219238,0.26928046345710754,0.7629759907722473,0.2575136125087738,0.7290505766868591,0.3063233494758606,0.7439114451408386,0.271114706993103]","[0.26788556575775146,0.7275376915931702,0.28696298599243164,0.7303275465965271,0.26839134097099304,0.7625457644462585,0.2632993459701538,0.7283633351325989,0.3089433014392853,0.6961244940757751]","[0.5012867450714111,0.49775734543800354,0.5054509043693542,0.5156232118606567,0.4612155258655548,0.4667917490005493,0.5344703793525696,0.5298969745635986,0.525170087814331,0.4662938714027405]","0.1","stack","64","0.1","20000","256","1","10","4","8","0","torch.optim.adam.Adam","[0.9,0.99]","0.0005","0.1","torch.optim.lr_scheduler.CosineAnnealingWarmRestarts","1000","0.000002","64","25","0.9784027934074402","0.06178212910890579","0.02229449711740017","0.7203581929206848","19999","0.07660000026226044","0.2008000016212463","6.94008207321167","4.223806381225586","0.31858524680137634","0.2332809567451477","0.5049556493759155","0.6341599822044373"
"BanditDT_lr=0.0005_layers=4_seq=64_embed=64","finished","-","","bandit","2024-08-14T08:19:59.000Z","1615","","[0.715158224105835,0.2538370192050934,0.7420697212219238,0.26928046345710754,0.7629759907722473,0.2575136125087738,0.7290505766868591,0.3063233494758606,0.7439114451408386,0.271114706993103]","[0.26788556575775146,0.7275376915931702,0.28696298599243164,0.7303275465965271,0.26839134097099304,0.7625457644462585,0.2632993459701538,0.7283633351325989,0.3089433014392853,0.6961244940757751]","[0.5012867450714111,0.49775734543800354,0.5054509043693542,0.5156232118606567,0.4612155258655548,0.4667917490005493,0.5344703793525696,0.5298969745635986,0.525170087814331,0.4662938714027405]","0.1","stack","64","0.1","20000","256","1","10","4","4","0","torch.optim.adam.Adam","[0.9,0.99]","0.0005","0.1","torch.optim.lr_scheduler.CosineAnnealingWarmRestarts","1000","0.000002","64","25","0.9779687523841858","0.06274943053722382","0.020497895777225494","0.7202115058898926","19999","0.09160000085830688","0.47200000286102295","7.540653228759766","3.0451481342315674","0.3289600908756256","0.19816802442073825","0.5176903605461121","0.6617526412010193"
